,document,term,tfidf
51720,Biden,make sure,0.16486488163849022
41620,Biden,american history,0.07609148383314933
52731,Biden,number number,0.06998996649214523
59616,Biden,united states,0.06617948811863475
47501,Biden,going make sure,0.06340956986095778
47495,Biden,going make,0.05666290988510843
43433,Biden,child care,0.05072765588876622
46042,Biden,economy world,0.05072765588876622
46585,Biden,fact matter,0.05072765588876622
52714,Biden,number idea,0.05072765588876622
52735,Biden,number number idea,0.05072765588876622
49128,Biden,im going,0.04632564168304433
45758,Biden,dont know,0.04047350706079173
44320,Biden,country world,0.03999426656694013
51755,Biden,making sure,0.03999426656694013
44609,Biden,damn thing,0.038045741916574664
48544,Biden,hes increased,0.038045741916574664
48586,Biden,hes talking,0.038045741916574664
50128,Biden,just just,0.038045741916574664
50892,Biden,let putin,0.038045741916574664
52511,Biden,need machines,0.038045741916574664
54290,Biden,president american,0.038045741916574664
54291,Biden,president american history,0.038045741916574664
54407,Biden,president say,0.038045741916574664
56633,Biden,significant progress,0.038045741916574664
4703,Harris,donald trump,0.1866693298005882
18638,Harris,united states,0.13874037151687837
655,Harris,american people,0.1272745430458556
343,Harris,affordable care,0.09305341082609986
344,Harris,affordable care act,0.09305341082609986
2119,Harris,care act,0.09305341082609986
18802,Harris,vice president,0.08484969536390373
4727,Harris,donald trumps,0.06646672201864277
9975,Harris,lets talk,0.06646672201864277
13461,Harris,president united,0.05549614860675135
13462,Harris,president united states,0.05549614860675135
9966,Harris,lets remember,0.05317337761491421
9985,Harris,lets understand,0.05317337761491421
12371,Harris,people america,0.05317337761491421
18435,Harris,turn page,0.05317337761491421
11455,Harris,national security,0.05240312708462826
7382,Harris,health care,0.042424847681951865
84,Harris,abortion bans,0.03988003321118566
2626,Harris,clean energy,0.03988003321118566
9736,Harris,law enforcement,0.03988003321118566
9950,Harris,lets clear,0.03988003321118566
9986,Harris,lets understand got,0.03988003321118566
10712,Harris,make decisions,0.03988003321118566
11444,Harris,national abortion,0.03988003321118566
12052,Harris,opportunity economy,0.03988003321118566
31649,Trump,millions people,0.07618992238080603
30949,Trump,look whats,0.060398284811905886
28195,Trump,history country,0.05714244178560453
36951,Trump,student loans,0.05714244178560453
40137,Trump,whats going,0.05714244178560453
40733,Trump,years ago,0.05714244178560453
25269,Trump,dont know,0.05397201994929986
27034,Trump,going prosecuted,0.0483186278495247
31624,Trump,million votes,0.0483186278495247
33521,Trump,pled guilty,0.0483186278495247
37926,Trump,theyre destroying,0.0483186278495247
37937,Trump,theyre eating,0.0483186278495247
23235,Trump,come country,0.04761870148800377
36064,Trump,shes going,0.04761870148800377
21994,Trump,billions dollars,0.03855144282092846
29371,Trump,ive seen,0.03855144282092846
24574,Trump,destroying country,0.038094961190403016
25904,Trump,everybody knows,0.038094961190403016
29618,Trump,just finish,0.038094961190403016
31887,Trump,nancy pelosi,0.038094961190403016
32147,Trump,ninth month,0.038094961190403016
32899,Trump,people come,0.038094961190403016
32943,Trump,people dont,0.038094961190403016
40152,Trump,whats happening,0.038094961190403016
21385,Trump,ask question,0.03623897088714353
69173,Trump1,history country,0.08225834696594136
70402,Trump1,january th,0.07311853063639233
66311,Trump1,dont think,0.06955618854155607
77275,Trump1,social security,0.06659522121577537
63165,Trump1,border history,0.05796349045129673
78978,Trump1,theyre putting,0.05796349045129673
78998,Trump1,theyre taking,0.05796349045129673
72627,Trump1,millions people,0.05483889797729424
70349,Trump1,ive seen,0.051796283167825294
63770,Trump1,caused inflation,0.04637079236103738
65051,Trump1,cut history,0.04637079236103738
65606,Trump1,did anybody,0.04637079236103738
69631,Trump1,im good,0.04637079236103738
71741,Trump1,little bit,0.04637079236103738
78959,Trump1,theyre living,0.04637079236103738
66290,Trump1,dont respect,0.0456990816477452
66905,Trump1,everybody wanted,0.0456990816477452
67122,Trump1,failing nation,0.0456990816477452
62972,Trump1,billions dollars,0.04439681414385025
72045,Trump1,lot people,0.04439681414385025
78928,Trump1,theyre going,0.04439681414385025
80105,Trump1,united states,0.042346855454678756
69004,Trump1,hes got,0.03699734511987521
70631,Trump1,just like,0.03699734511987521
73883,Trump1,people coming,0.03699734511987521
