,document,term,tfidf
5689,Biden,he,0.4667295754783339
7021,Biden,we,0.3876866635021644
7104,Biden,you,0.3011158551473122
6850,Biden,they,0.25218452868587393
5759,Biden,idea,0.1611347134345806
5623,Biden,going,0.1580858239523389
6154,Biden,number,0.14732316656875943
6251,Biden,people,0.1430300311949733
6557,Biden,said,0.1279742384376077
6845,Biden,thats,0.1279742384376077
6342,Biden,president,0.11291844568024206
6788,Biden,sure,0.10588852597129585
5709,Biden,hes,0.10162660111221786
7080,Biden,world,0.09409870473353506
6659,Biden,situation,0.08747313015020092
6016,Biden,make,0.08280686016551085
5481,Biden,fact,0.07904291197616944
7020,Biden,way,0.07904291197616944
6849,Biden,theres,0.07826543223965345
4748,Biden,able,0.07527896378682805
5885,Biden,just,0.07527896378682805
5905,Biden,know,0.07527896378682805
6253,Biden,percent,0.07392670182279974
6846,Biden,them,0.07151501559748664
5765,Biden,im,0.06775106740814524
2277,Harris,we,0.43256581027572677
2360,Harris,you,0.3707706945220515
1598,Harris,president,0.2574796489736469
945,Harris,he,0.24718046301470104
1507,Harris,people,0.22658209109680927
609,Harris,donald,0.17006466900785178
2168,Harris,trump,0.1338894174662964
84,Harris,american,0.11844063852787758
1205,Harris,lets,0.11329104554840463
1813,Harris,said,0.11329104554840463
1988,Harris,states,0.11329104554840463
2203,Harris,united,0.10814145256893169
2194,Harris,understand,0.09784226660998582
29,Harris,actually,0.09448037167102878
1539,Harris,plan,0.09448037167102878
1161,Harris,know,0.09269267363051288
1163,Harris,known,0.07894493839590566
2262,Harris,want,0.07724389469209407
303,Harris,care,0.07209430171262113
610,Harris,dont,0.07209430171262113
879,Harris,going,0.07209430171262113
2230,Harris,vice,0.06928560589208778
48,Harris,affordable,0.06907682109641745
2061,Harris,talk,0.0669447087331482
2330,Harris,work,0.06298691444735252
4478,Trump,they,0.5134863208859725
4732,Trump,you,0.2870420427312889
4258,Trump,she,0.2742846186098983
3879,Trump,people,0.23601234624572645
4649,Trump,we,0.22963363418503113
3251,Trump,going,0.18498264976016396
3317,Trump,he,0.1690358696084257
2824,Trump,country,0.14989973342633978
4185,Trump,said,0.1467103773959921
2982,Trump,dont,0.13714230930494914
3332,Trump,her,0.1326353688864039
4481,Trump,theyre,0.12438488518355853
4473,Trump,thats,0.0988700369407773
3513,Trump,just,0.09568068091042964
3533,Trump,know,0.09568068091042964
3592,Trump,like,0.09249132488008198
3669,Trump,me,0.08930196884973433
3260,Trump,got,0.08292325678903902
3970,Trump,president,0.08292325678903902
4474,Trump,them,0.07973390075869137
3258,Trump,good,0.07802080522729642
3613,Trump,look,0.07654454472834371
4727,Trump,years,0.07654454472834371
2940,Trump,did,0.07335518869799605
4261,Trump,shes,0.0701658326676484
8061,Trump1,he,0.5054146589859527
9393,Trump1,we,0.3950367449545378
9476,Trump1,you,0.2817541489749277
9222,Trump1,they,0.2788494670267326
8623,Trump1,people,0.2062324183218543
7568,Trump1,country,0.14232941546156141
8081,Trump1,hes,0.14232941546156141
7995,Trump1,going,0.13071068766878088
9225,Trump1,theyre,0.11909195987600037
8929,Trump1,said,0.1132825959796101
8257,Trump1,just,0.10747323208321984
9218,Trump1,them,0.10747323208321984
8336,Trump1,like,0.10456855013502471
8089,Trump1,him,0.09875918623863444
7684,Trump1,did,0.09294982234224418
8466,Trump1,money,0.08526823184528808
7726,Trump1,dont,0.07842641260126854
9331,Trump1,us,0.07842641260126854
8004,Trump1,got,0.0755217306530734
8277,Trump1,know,0.0755217306530734
7354,Trump1,border,0.06971236675668314
8095,Trump1,history,0.06971236675668314
9217,Trump1,thats,0.06971236675668314
8413,Trump1,me,0.066807684808488
8889,Trump1,right,0.06390300286029288
