,document,term,tfidf
54701,Biden,idea,0.1810516686945834
52955,Biden,going,0.1776259231388355
58822,Biden,number,0.16553295423504769
59556,Biden,people,0.1607091685541845
62324,Biden,said,0.1437924139695335
64972,Biden,thats,0.1437924139695335
60603,Biden,president,0.1268756593848825
64326,Biden,sure,0.11897681085644053
54158,Biden,hes,0.11418809344639425
67958,Biden,world,0.10572971615406875
57714,Biden,make sure,0.10535661507785808
63349,Biden,situation,0.09828519157705957
57664,Biden,make,0.09304215021558049
52021,Biden,fact,0.08881296156941774
67329,Biden,way,0.08881296156941774
65151,Biden,theres,0.08793938193736908
45730,Biden,able,0.08458377292325499
55942,Biden,just,0.08458377292325499
56281,Biden,know,0.08458377292325499
59924,Biden,percent,0.08306436546671746
54852,Biden,im,0.0761253956309295
57300,Biden,look,0.0761253956309295
51044,Biden,dont,0.067667018338604
53336,Biden,got,0.067667018338604
65770,Biden,time,0.067667018338604
14901,Harris,president,0.23956795803288883
13854,Harris,people,0.21081980306894216
5312,Harris,donald,0.15823404160349824
5313,Harris,donald trump,0.12893144130655412
20458,Harris,trump,0.12457533817710219
710,Harris,american,0.11020126069512885
11148,Harris,lets,0.10540990153447108
16622,Harris,said,0.10540990153447108
18191,Harris,states,0.10540990153447108
20830,Harris,united,0.1006185423738133
20835,Harris,united states,0.09582718321315553
20737,Harris,understand,0.09103582405249776
254,Harris,actually,0.08790780089083236
740,Harris,american people,0.08790780089083236
14481,Harris,plan,0.08790780089083236
10579,Harris,know,0.08624446489183997
10750,Harris,known,0.07345309722119063
21258,Harris,want,0.07187038740986665
2422,Harris,care,0.06707902824920887
5342,Harris,dont,0.06707902824920887
7253,Harris,going,0.06707902824920887
21024,Harris,vice,0.06446572065327706
391,Harris,affordable,0.06427146006854179
392,Harris,affordable care,0.06427146006854179
393,Harris,affordable care act,0.06427146006854179
36705,Trump,people,0.27871858891660173
30104,Trump,going,0.21845511023193107
26445,Trump,country,0.17702396863622
39473,Trump,said,0.1732575012184281
28193,Trump,dont,0.16195809896505234
42365,Trump,theyre,0.14689222929388468
42121,Trump,thats,0.11676048995154936
33091,Trump,just,0.11299402253375745
33430,Trump,know,0.11299402253375745
34167,Trump,like,0.10922755511596553
30485,Trump,got,0.09792815286258978
37752,Trump,president,0.09792815286258978
30406,Trump,good,0.09213860666614528
34449,Trump,look,0.09039521802700595
45439,Trump,years,0.09039521802700595
27554,Trump,did,0.08662875060921404
40292,Trump,shes,0.08286228319142212
43959,Trump,vote,0.07831781566622349
25966,Trump,come,0.0753293483558383
32001,Trump,im,0.0753293483558383
45107,Trump,world,0.0753293483558383
24094,Trump,bad,0.07397618131643675
44015,Trump,votes,0.07217646604620628
35322,Trump,millions,0.06910395499960896
42635,Trump,things,0.06910395499960896
82407,Trump1,people,0.25998817474519587
72147,Trump1,country,0.1794284586269662
77009,Trump1,hes,0.1794284586269662
75806,Trump1,going,0.16478123751456078
88067,Trump1,theyre,0.15013401640215537
85175,Trump1,said,0.14281040584595267
78793,Trump1,just,0.13548679528974997
79869,Trump1,like,0.13182499001164863
73256,Trump1,did,0.11717776889924322
81125,Trump1,money,0.10749392428987208
73895,Trump1,dont,0.09886874250873647
76187,Trump1,got,0.09520693723063511
79132,Trump1,know,0.09520693723063511
70457,Trump1,border,0.08788332667443241
77223,Trump1,history,0.08788332667443241
87823,Trump1,thats,0.08788332667443241
84843,Trump1,right,0.08055971611822971
88422,Trump1,think,0.08055971611822971
88337,Trump1,things,0.07614152970532605
76370,Trump1,great,0.073236105562027
76108,Trump1,good,0.07166261619324805
90954,Trump1,worst,0.07166261619324805
73394,Trump1,didnt,0.06957430028392567
77703,Trump1,im,0.06957430028392567
85741,Trump1,seen,0.06957430028392567
